run	iid
SRR10290287	ESCC-S2019-0001-1
SRR10290276	ESCC-S2019-0001-1
SRR10290286	ESCC-S2019-0001-2
SRR10290275	ESCC-S2019-0001-2
SRR10290281	GBM-S2019-0002-1
SRR10290274	GBM-S2019-0002-1
SRR10321935	GBM-S2019-0002-1
SRR10290280	GBM-S2019-0002-2
SRR10290285	GBM-S2019-0002-2
SRR10290279	LYMP-S2019-0003-2
SRR10290284	LYMP-S2019-0003-2
SRR10290278	LYMP-S2019-0003-1
SRR10290283	LYMP-S2019-0003-1
SRR10321934	LYMP-S2019-0003-1
SRR10290277	LYMP-S2019-0004-1
SRR10290282	LYMP-S2019-0004-1
SRR10376044	COAD-S2019-0005-2
SRR10376043	COAD-S2019-0005-3
SRR10376042	COAD-S2019-0005-3
SRR10376041	COAD-S2019-0005-1
SRR10376040	COAD-S2019-0005-1
SRR10376039	LUNG-S2019-0006-2
SRR10376038	LUNG-S2019-0006-3
SRR10376037	LUNG-S2019-0006-1
SRR10376036	LYMP-S2019-0007-2
SRR10376035	LYMP-S2019-0007-2
SRR10406038	LIHC-S2019-0008-2
SRR10406037	LIHC-S2019-0008-3
SRR10406030	LIHC-S2019-0008-1
SRR10406029	LUNG-S2019-0009-2
SRR10406028	LUNG-S2019-0009-2
SRR10406027	LUNG-S2019-0009-3
SRR10406026	LUNG-S2019-0009-3
SRR10406025	LUNG-S2019-0009-1
SRR10406024	LUNG-S2019-0009-1
SRR10411530	LUNG-S2019-0009-1
SRR10411529	LUNG-S2019-0009-1
SRR10406023	COAD-S2019-0010-2
SRR10406036	COAD-S2019-0010-3
SRR10406035	COAD-S2019-0010-3
SRR10406034	COAD-S2019-0010-1
SRR10406033	COAD-S2019-0011-2
SRR10406032	COAD-S2019-0011-3
SRR10406031	COAD-S2019-0011-1
SRR10411506	GBM-S2019-0012-2
SRR10411505	GBM-S2019-0012-1
SRR10411499	GBM-S2019-0013-2
SRR10411498	PAAD-S2019-0014-2
SRR10411497	PAAD-S2019-0014-1
SRR10411528	PAAD-S2019-0014-1
SRR10411496	ESCC-S2019-0015-2
SRR10411495	ESCC-S2019-0015-1
SRR10411494	LYMP-S2019-0016-2
SRR10411493	LYMP-S2019-0016-1
SRR10411527	STAD-S2019-0017-2
SRR10411492	STAD-S2019-0017-2
SRR10411504	STAD-S2019-0017-1
SRR10411503	STAD-S2019-0018-2
SRR10411502	STAD-S2019-0018-1
SRR10411501	STAD-S2019-0019-2
SRR10411500	STAD-S2019-0019-1
SRR10411526	STAD-S2019-0019-1
